"n","d","d_label","weight_label","a_w","b_w","prior","reject_rate","mean_ev","mean_k_star","sd_k_star"
150,0,"Delta=0.00 (H true)","a=1, b=1 (balanced)",1,1,"Non-informative",0.0666666666666667,0.767574653836449,0.424068380040969,0.153162942871856
150,0,"Delta=0.00 (H true)","a=5, b=1 (moderate)",5,1,"Non-informative",0,0.767574653836449,0.039739116271634,0.035442007316945
150,0,"Delta=0.00 (H true)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.767574653836449,0.0123279083248295,0.00922878398087477
150,0,"Delta=0.00 (H true)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.233333333333333,0.840391223382853,0.688223705875879,0.132561042266238
150,0,"Delta=0.00 (H true)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0,0.840391223382853,0.0965385607416778,0.057990418391892
150,0,"Delta=0.00 (H true)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.840391223382853,0.0580631791603672,0.0334799212480652
150,0,"Delta=0.00 (H true)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.166666666666667,0.817313747597646,0.569837612174194,0.195646273040208
150,0,"Delta=0.00 (H true)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0,0.817313747597646,0.0951039983848375,0.0608956796916632
150,0,"Delta=0.00 (H true)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.817313747597646,0.0365846576302889,0.0305313656099235
30,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Non-informative",0.3,0.605519937854131,0.472230174319142,0.137021734377307
30,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Non-informative",0.0333333333333333,0.605519937854131,0.0405284155570757,0.0338900982837968
30,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.605519937854131,0.00902721838804433,0.00671064134919504
30,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.566666666666667,0.863596006554996,0.876995330649702,0.0904460139776892
30,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0,0.863596006554996,0.285117714087318,0.157474006230714
30,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.863596006554996,0.25760117599794,0.158906883124434
30,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.5,0.773964615165669,0.741275737488252,0.180114252771197
30,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.0333333333333333,0.773964615165669,0.120058724244856,0.0963018073592025
30,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.773964615165669,0.088811848756868,0.0624997183838278
50,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Non-informative",0.133333333333333,0.659414078800985,0.434624552471681,0.123397655301801
50,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Non-informative",0,0.659414078800985,0.0489340394501707,0.0351940180160171
50,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.659414078800985,0.0144322729829028,0.0122230166420237
50,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.366666666666667,0.848828677294401,0.800528537466675,0.121873629227763
50,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0,0.848828677294401,0.171349016552005,0.102173628021138
50,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.848828677294401,0.150178902972198,0.0881547112989904
50,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.566666666666667,0.790012041675815,0.805955289863572,0.148906362163963
50,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0,0.790012041675815,0.0858417145309661,0.0799418629430328
50,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.790012041675815,0.0436124731868963,0.0432124368632168
75,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Non-informative",0.233333333333333,0.685044748122993,0.477268905721348,0.132428446710472
75,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Non-informative",0.0333333333333333,0.685044748122993,0.0499755205571486,0.0351491700876255
75,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.685044748122993,0.0167953954291379,0.015550072397943
75,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.366666666666667,0.82648366458607,0.78384035179002,0.119158766413126
75,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0,0.82648366458607,0.141843134798539,0.075017033062376
75,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.82648366458607,0.100609380957398,0.0663842687879221
75,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.466666666666667,0.783987010077905,0.756702842169572,0.170440599114571
75,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0,0.783987010077905,0.0985214853314919,0.0768967001164644
75,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.783987010077905,0.0495300328474708,0.0414840591271544
100,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Non-informative",0.166666666666667,0.742237229882508,0.450620458230339,0.136724815723765
100,0.02,"Delta=0.02 (small)","a=5, b=1 (moderate)",5,1,"Non-informative",0,0.742237229882508,0.0371878766451138,0.0255745583527035
100,0.02,"Delta=0.02 (small)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.742237229882508,0.0134546184441777,0.0139079825507204
100,0.02,"Delta=0.02 (small)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.233333333333333,0.843366661988132,0.734298624806797,0.0938934286391572
